country,region_cont,region_stat
 China,Asia,Eastern Asia
 India,Asia,Southern Asia
 United States,Americas,Northern America
 Indonesia,Asia,South-eastern Asia
 Brazil,Americas,South America
 Pakistan,Asia,Southern Asia
 Nigeria,Africa,Western Africa
 Bangladesh,Asia,Southern Asia
 Russia,Europe,Eastern Europe
 Mexico,Americas,Central America
 Japan,Asia,Eastern Asia
 Ethiopia,Africa,Eastern Africa
 Philippines,Asia,South-eastern Asia
 Egypt,Africa,Northern Africa
 Vietnam,Asia,South-eastern Asia
 Germany,Europe,Western Europe
 Democratic Republic of the Congo,Africa,Middle Africa
 Iran,Asia,Southern Asia
 Turkey,Asia,Western Asia
 Thailand,Asia,South-eastern Asia
 United Kingdom,Europe,Northern Europe
 France,Europe,Western Europe
 Italy,Europe,Southern Europe
 Tanzania,Africa,Eastern Africa
 South Africa,Africa,Southern Africa
 Myanmar,Asia,South-eastern Asia
 South Korea,Asia,Eastern Asia
 Colombia,Americas,South America
 Kenya,Africa,Eastern Africa
 Spain,Europe,Southern Europe
 Argentina,Americas,South America
 Ukraine,Europe,Eastern Europe
 Uganda,Africa,Eastern Africa
 Algeria,Africa,Northern Africa
 Sudan,Africa,Northern Africa
 Iraq,Asia,Western Asia
 Poland,Europe,Eastern Europe
 Canada,Americas,Northern America
 Morocco,Africa,Northern Africa
 Afghanistan,Asia,Southern Asia
 Saudi Arabia,Asia,Western Asia
 Peru,Americas,South America
 Venezuela,Americas,South America
 Uzbekistan,Asia,Central Asia
 Malaysia,Asia,South-eastern Asia
 Angola,Africa,Middle Africa
 Mozambique,Africa,Eastern Africa
   Nepal,Asia,Southern Asia
 Ghana,Africa,Western Africa
 Yemen,Asia,Western Asia
 Madagascar,Africa,Eastern Africa
 North Korea,Asia,Eastern Asia
 Australia,Oceania,Australia and New Zealand
 Ivory Coast,Africa,Western Africa
 Cameroon,Africa,Middle Africa
 Taiwan,Asia,Eastern Asia
 Niger,Africa,Western Africa
 Sri Lanka,Asia,Southern Asia
 Romania,Europe,Eastern Europe
 Burkina Faso,Africa,Western Africa
 Malawi,Africa,Eastern Africa
 Mali,Africa,Western Africa
 Syria,Asia,Western Asia
 Kazakhstan,Asia,Central Asia
 Chile,Americas,South America
 Zambia,Africa,Eastern Africa
 Netherlands,Europe,Western Europe
 Guatemala,Americas,Central America
 Ecuador,Americas,South America
 Zimbabwe,Africa,Eastern Africa
 Cambodia,Asia,South-eastern Asia
 Senegal,Africa,Western Africa
 Chad,Africa,Middle Africa
 Somalia,Africa,Eastern Africa
 Guinea,Africa,Western Africa
 South Sudan,Africa,Eastern Africa
 Rwanda,Africa,Eastern Africa
 Tunisia,Africa,Northern Africa
 Cuba,Americas,Caribbean
 Belgium,Europe,Western Europe
 Benin,Africa,Western Africa
 Greece,Europe,Southern Europe
 Bolivia,Americas,South America
 Haiti,Americas,Caribbean
 Burundi,Africa,Eastern Africa
 Dominican Republic,Americas,Caribbean
 Czech Republic,Europe,Eastern Europe
 Portugal,Europe,Southern Europe
 Sweden,Europe,Northern Europe
 Azerbaijan,Asia,Western Asia
 Hungary,Europe,Eastern Europe
 Jordan,Asia,Western Asia
 Belarus,Europe,Eastern Europe
 United Arab Emirates,Asia,Western Asia
 Honduras,Americas,Central America
 Tajikistan,Asia,Central Asia
 Serbia,Europe,Southern Europe
 Austria,Europe,Western Europe
  Switzerland,Europe,Western Europe
 Israel,Asia,Western Asia
 Papua New Guinea,Oceania,Melanesia
 Togo,Africa,Western Africa
 Sierra Leone,Africa,Western Africa
 Hong Kong,Asia,Eastern Asia
 Bulgaria,Europe,Eastern Europe
 Laos,Asia,South-eastern Asia
 Paraguay,Americas,South America
 El Salvador,Americas,Central America
 Libya,Africa,Northern Africa
 Nicaragua,Americas,Central America
 Lebanon,Asia,Western Asia
 Kyrgyzstan,Asia,Central Asia
 Turkmenistan,Asia,Central Asia
 Denmark,Europe,Northern Europe
 Singapore,Asia,South-eastern Asia
 Finland,Europe,Northern Europe
 Slovakia,Europe,Eastern Europe
 Norway,Europe,Northern Europe
 Congo,Africa,Middle Africa
 Eritrea,Africa,Eastern Africa
 Palestine,Asia,Western Asia
 Costa Rica,Americas,Central America
 Ireland,Europe,Northern Europe
 Liberia,Africa,Western Africa
 New Zealand,Oceania,Australia and New Zealand
 Central African Republic,Africa,Middle Africa
 Oman,Asia,Western Asia
 Mauritania,Africa,Western Africa
 Croatia,Europe,Southern Europe
 Kuwait,Asia,Western Asia
 Panama,Americas,Central America
 Moldova,Europe,Eastern Europe
 Georgia,Asia,Western Asia
 Puerto Rico,Americas,Caribbean
 Bosnia and Herzegovina,Europe,Southern Europe
 Uruguay,Americas,South America
 Mongolia,Asia,Eastern Asia
 Armenia,Asia,Western Asia
 Albania,Europe,Southern Europe
 Jamaica,Americas,Caribbean
 Lithuania,Europe,Northern Europe
 Qatar,Asia,Western Asia
 Namibia,Africa,Southern Africa
 Botswana,Africa,Southern Africa
 Lesotho,Africa,Southern Africa
 The Gambia,Africa,Western Africa
 Republic of Macedonia,Europe,Southern Europe
 Slovenia,Europe,Southern Europe
 Gabon,Africa,Middle Africa
 Latvia,Europe,Northern Europe
 Guinea-Bissau,Africa,Western Africa
 Bahrain,Asia,Western Asia
 Trinidad and Tobago,Americas,Caribbean
 Swaziland,Africa,Southern Africa
 Estonia,Europe,Northern Europe
 East Timor,Asia,South-eastern Asia
 Equatorial Guinea,Africa,Middle Africa
 Mauritius,Africa,Eastern Africa
 Cyprus,Asia,Western Asia
 Djibouti,Africa,Eastern Africa
 Fiji,Oceania,Melanesia
 Réunion,Africa,Eastern Africa
 Comoros,Africa,Eastern Africa
 Bhutan,Asia,Southern Asia
 Guyana,Americas,South America
 Montenegro,Europe,Southern Europe
 Macau,Asia,Eastern Asia
 Solomon Islands,Oceania,Melanesia
 Luxembourg,Europe,Western Europe
 Suriname,Americas,South America
 Western Sahara,Africa,Northern Africa
 Cape Verde,Africa,Western Africa
 Guadeloupe,Americas,Caribbean
 Maldives,Asia,Southern Asia
 Malta,Europe,Southern Europe
 Brunei,Asia,South-eastern Asia
 Bahamas,Americas,Caribbean
 Martinique,Americas,Caribbean
 Belize,Americas,Central America
 Iceland,Europe,Northern Europe
 Barbados,Americas,Caribbean
 French Polynesia,Oceania,Polynesia
 French Guiana,Americas,South America
 New Caledonia,Oceania,Melanesia
 Vanuatu,Oceania,Melanesia
 Mayotte,Africa,Eastern Africa
 Sao Tome and Principe,Africa,Middle Africa
 Samoa,Oceania,Polynesia
 Saint Lucia,Americas,Caribbean
Guernsey Guernsey and  Jersey,Europe,Northern Europe
 Guam,Oceania,Micronesia
 Curaçao,Americas,Caribbean
 Kiribati,Oceania,Micronesia
 Saint Vincent and the Grenadines,Americas,Caribbean
 Tonga,Oceania,Polynesia
 Grenada,Americas,Caribbean
 Federated States of Micronesia,Oceania,Micronesia
 Aruba,Americas,Caribbean
 United States Virgin Islands,Americas,Caribbean
 Antigua and Barbuda,Americas,Caribbean
 Seychelles,Africa,Eastern Africa
 Isle of Man,Europe,Northern Europe
 Andorra,Europe,Southern Europe
 Dominica,Americas,Caribbean
 Cayman Islands,Americas,Caribbean
 Bermuda,Americas,Northern America
 Greenland,Americas,Northern America
 American Samoa,Oceania,Polynesia
 Saint Kitts and Nevis,Americas,Caribbean
 Northern Mariana Islands,Oceania,Micronesia
 Marshall Islands,Oceania,Micronesia
 Faroe Islands,Europe,Northern Europe
 Sint Maarten,Americas,Caribbean
 Monaco,Europe,Western Europe
 Liechtenstein,Europe,Western Europe
 Turks and Caicos Islands,Americas,Caribbean
 Gibraltar,Europe,Southern Europe
 San Marino,Europe,Southern Europe
 British Virgin Islands,Americas,Caribbean
 Caribbean Netherlands,Americas,Caribbean
 Palau,Oceania,Micronesia
 Cook Islands,Oceania,Polynesia
 Anguilla,Americas,Caribbean
 Wallis and Futuna,Oceania,Polynesia
 Nauru,Oceania,Micronesia
 Tuvalu,Oceania,Polynesia
 Saint Pierre and Miquelon,Americas,Northern America
 Montserrat,Americas,Caribbean
" Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa
 Falkland Islands,Americas,South America
 Niue,Oceania,Polynesia
 Tokelau,Oceania,Polynesia
  Vatican City,Europe,Southern Europe
